4;2;0;Plus large !;Pour être moins précis;*1,25;;;;;;;;;;7;4;1;Laser;Amélioration non équilibrée;;;;*1.4;;laser;;;
;3;0;Moins large !;Pour être plus précis !;;;;;;;;;;;;<endColumn>;;;;;;;;;;;;
;<endColumn>;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4;1;Amélioration;Woah attend mais tu vas vraiment faire mal;;;;;;;;;;;7;5;2;Amélioration;Woah attend mais tu vas vraiment faire mal;*1.2;;1;;;;;;
7;5;2;Bullets in the blue  sky;Le nom c'est une ref … une chanson de U2 ( la confiture etc etc);;;;;;;;;;;7;6;3;Bullets in the blue  sky;Le nom c'est une ref … une chanson de U2 ( la confiture etc etc);*1.5;;1;;;;;;
10;6;3;Triple canon;T'abuse l…;;;;;;;;;;;10;7;4;Laser;Eh beh;*1.4;*1.5;;;;laser;;;
10;7;4;I Need More Bullets;Glizzy overdrive activated;;;;;;;;;;;10;8;5;Triple canon;T'abuse l…;*1.5;3;1;;;;;;
;;;;;;;;;;;;;;;10;9;6;I Need More Bullets;Glizzy overdrive activated;;;1;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;<start>;<name>Feu;;;;;;;;;;;;
;;;;;;;;;;;;;;;<column>;<id>;<previd>;<var>name;<var>description;<var>damagePerBullet;<var>attackSpeed;<var>bulletSpeed;<var>penetration;<var>misc;<var>dotCD;<var>dotDamage;<var>dotTimer;<endLine>
;;;;;;;;;;;;;;;1;0;;Elementaire de feu ;tldr : ça brule ;*1.1;*1.1;*1.2;;fire;0.5;3;3;
;;;;;;;;;;;;;;;4;1;0;Feu perçant;Les balles enflammés traversent les ennemis ;*1.5;;;1;;;*1.1;;
;;;;;;;;;;;;;;;4;2;0;Feu nourri;Feu feu feu;*1.3;*1.5;*1.15;;;;*1.1;;
;;;;;;;;;;;;;;;4;3;0;Feu follet;J'ai mis ça parce que le nom est bien mais je sais pas quoi mettre dedans;*1.2;*1.2;*1.05;;;*1.4;*1.1;;
;;;;;;;;;;;;;;;7;4;0;Feu prolongé;Remettre de l'huile sur le feu ou un truc du genre;;;;;;;;5;
;;;;;;;;;;;;;;;7;5;0;Feu nouille;On a le droit de s'amuser nous aussi;*1.1;;;;;;;;
;;;;;;;;;;;;;;;7;6;1;;;;;;;;;;;
//Test;<nameLaser;;;;Balle/seconde;;;;;;;;;;10;7;2;Feu concentré;Un puissant laser qui s'arrête à la première cible touché;*1.4;*1.5;;;laser;;;;
<column>;<id>;<previd>;<var>name;<var>description;<var>damagePerBullet;<var>attackSpeed;<var>bulletSpeed;<var>misc;<endLine>;;;;;;10;8;5;Triple canon;T'abuse l…;*1.5;3;1;;;r;;;
;0;;Laser;c'est dans le nom;*1.1;*0.8;*1.1;laser;;;;;;;10;9;6;I Need More Bullets;Glizzy overdrive activated;;;1;;;;;;
;1;0;On a copié;;*1.1;*1.2;*1.1;;;;;;;;;<endColumn>;;;;;;;;;;;;
;2;0;Clash of clans;Laser simple mais dégat croissant sur une même cible;*1.3;*1.2;*1.0;dmgCroissant;;;;;;;;;;;;;;;;;;;;
;3;1;Am‚lioration;Woah attend mais tu vas vraiment faire mal;;*1.2;*1.4;;;;;;;;;;;;;;;;;;;;;
;4;2;Bullets in the blue  sky;Le nom c'est une ref à une chanson de U2 ( la confiture etc etc);;*1.5;*1.4;;;;;;;;<start>;<name>Glace;;;;;;;;Le misc est toujours à la fin et derrière ce sont les valeurs qui dépendent de celui-ci;;;;
;<endColumn>;;;;;;;;;;;;;;<column>;<id>;<previd>;<var>name;<var>description;<var>damagePerBullet;<var>attackSpeed;<var>bulletSpeed;<var>penetration;<var>misc;<var> factor;<var>dotTimer;<endLine>;
;;;;;;;;;;;;;;;1;0;;Elementaire de glace ;Tout est ice;*1.1;*1.1;*1.2;;ice;0.2;3;;
;;;;;;;;;;;;;;;4;1;0;Feu perçant;Les balles enflammés traversent les ennemis ;*1.5;;;1;;*1.1;;;
;;;;;;;;;;;;;;;4;2;0;Feu nourri;Feu feu feu;*1.3;*1.5;*1.15;;;*1.1;;;
;;;;;;;;;;;;;;;4;3;0;Feu follet;J'ai mis ça parce que le nom est bien mais je sais pas quoi mettre dedans;*1.2;*1.2;*1.05;;;*1.1;;;
;;;;;;;;;;;;;;;7;4;0;Feu prolongé;Un petit coup d'isio 4 et ça repart comme en 40;;;;;;;5;;
;;;;;;;;;;;;;;;7;5;0;Feu nouille;On a le droit de s'amuser nous aussi;*1.1;;;;;;;;
;;;;;;;;;;;;;;;7;6;1;Katon;Boule de feu suprême;;;;e+1;bouleCharge;;;;
;;;;;;;;;;;;;;;10;7;2;Feu concentré;Un puissant laser qui s'arrête à la première cible touché;*1.4;*1.5;;;laser;;;;
;;;;;;;;;;;;;;;10;8;5;Triple canon;T'abuse l…;*1.5;3;1;;;;;;
;;;;;;;;;;;;;;;10;9;6;I Need More Bullets;Glizzy overdrive activated;;;1;;;;;;
;;;;;;;;;;;;;;;;<endColumn>;;;;;;;;;;;;
